    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 5066,       6315858,         6310804,           8580,     94309,       18205,        501,   12829645,      6310804,       24579,   109377,      58030,       435
 5067,       6317633,         6312578,           8388,    104728,       18044,        480,   12834711,      6312578,       25358,   109364,      57996,       594
 5068,       6320859,         6315803,           8998,     93852,       18320,        518,   12839778,      6315803,       31446,   109413,      58043,       525
 5069,       6324160,         6319103,          11487,     93801,       18277,        605,   12844846,      6319103,       32302,   109458,      58108,       676
 5070,       6325766,         6320708,           9771,     94017,       18328,        562,   12849915,      6320708,       29077,   109424,      58040,       561
 5071,       6330612,         6325553,          10151,     99002,       18054,        513,   12854985,      6325553,       27560,   109491,      58094,       472
 5072,       6331996,         6326936,           8590,     99845,       18035,        455,   12860056,      6326936,       24772,   109545,      58136,       434
 5073,       6336616,         6331555,           8123,     99070,       18221,        445,   12865128,      6331555,       24005,   109521,      58082,       476
 5074,       6338330,         6333268,           8001,     95245,       18190,        448,   12870201,      6333268,       24132,   109589,      58115,       579
 5075,       6339700,         6334637,           8795,    101412,       17963,        458,   12875275,      6334637,       25554,   109597,      58139,       710
 5076,       6340096,         6335032,           9182,     98131,       18208,        434,   12880350,      6335032,       24751,   109549,      58112,       438
 5077,       6342064,         6336999,           7973,     94604,       18298,        444,   12885426,      6336999,       25672,   109640,      58164,       436
 5078,       6346012,         6340946,           8057,     95764,       18312,        439,   12890503,      6340946,       25173,   109651,      58183,       439
 5079,       6346589,         6341522,           8847,     98196,       18243,        499,   12895581,      6341522,       31971,   109639,      58145,       583
 5080,       6347190,         6342122,          10920,     96443,       18276,        636,   12900660,      6342122,       31772,   109656,      58184,       502
 5081,       6347308,         6342239,          11291,     95795,       18394,        647,   12905740,      6342239,       30254,   109722,      58237,       761
 5082,       6348464,         6343394,          10865,     98968,       18074,        775,   12910821,      6343394,       33448,   109723,      58244,       651
 5083,       6350955,         6345884,          11668,     94630,       18306,        689,   12915903,      6345884,       31003,   109736,      58206,       544
 5084,       6355201,         6350129,          15816,     98494,       18133,        704,   12920986,      6350129,       38643,   109781,      58196,       542
 5085,       6356049,         6350976,           9633,     99253,       18072,        595,   12926070,      6350976,       34770,   109803,      58231,       710
 5086,       6357830,         6352756,          10238,    102179,       18030,        559,   12931155,      6352756,       30367,   109854,      58283,       476
 5087,       6361974,         6356899,           9131,     95016,       18472,        689,   12936241,      6356899,       29721,   109906,      58331,       550
 5088,       6365351,         6360275,           9633,     98304,       18245,        611,   12941328,      6360275,       35044,   109881,      58340,       677
 5089,       6368314,         6363237,          11236,    105635,       18040,        604,   12946416,      6363237,       29427,   109954,      58331,       701
 5090,       6370645,         6365567,          10355,     97560,       18192,        546,   12951505,      6365567,       31647,   109984,      58366,       477
 5091,       6372042,         6366963,          11389,     94418,       18352,        962,   12956595,      6366963,       31775,   109939,      58294,       526
 5092,       6375185,         6370105,          11491,     92975,       18450,        615,   12961686,      6370105,       34450,   109946,      58328,       701
 5093,       6379140,         6374059,          11473,     95433,       18211,        757,   12966778,      6374059,       36380,   110040,      58394,       624
 5094,       6379609,         6374527,          12493,    102491,       18278,        684,   12971871,      6374527,       32430,   110073,      58379,       643
 5095,       6382880,         6377797,          11114,     94775,       18301,        673,   12976965,      6377797,       32013,   110127,      58413,       543
 5096,       6384831,         6379747,          10432,     97633,       18316,        684,   12982060,      6379747,       33413,   110079,      58363,       504
 5097,       6388445,         6383360,          10456,    101487,       18151,        595,   12987156,      6383360,       28307,   110168,      58453,       473
 5098,       6388843,         6383757,          10026,     98855,       18250,        616,   12992253,      6383757,       28453,   110174,      58460,       511
 5099,       6391801,         6386714,           9536,     98258,       18383,        495,   12997351,      6386714,       30313,   110136,      58435,       545
 5100,       6392451,         6387363,          10664,    101890,       18146,        544,   13002450,      6387363,       29697,   110152,      58440,       514
 5101,       6396094,         6391005,           9696,     98403,       18175,        720,   13007550,      6391005,       28353,   110177,      58463,       455
 5102,       6400777,         6395687,           9819,     97478,       18395,        535,   13012651,      6395687,       31386,   110209,      58426,       509
 5103,       6405077,         6399986,          10537,     94713,       18424,        504,   13017753,      6399986,       32315,   110227,      58499,       566
 5104,       6407633,         6402541,           9510,     96651,       18402,        565,   13022856,      6402541,       28121,   110269,      58475,       477
 5105,       6410036,         6404943,           9157,     98015,       18462,        496,   13027960,      6404943,       30849,   110363,      58530,       522
 5106,       6414580,         6409486,          11067,     98073,       18288,        612,   13033065,      6409486,       30016,   110310,      58482,       645
